decade;genres_list;startYear;count
1940;Action;9740;269
1940;Adventure;9740;382
1940;Animation;9740;28
1940;Biography;9740;95
1940;Comedy;9740;1425
1940;Crime;9740;781
1940;Documentary;9740;162
1940;Drama;9740;2967
1940;Family;9740;190
1940;Fantasy;9740;104
1940;Film-Noir;9740;320
1940;Game-Show;0;0
1940;History;9740;124
1940;Horror;9740;54
1940;Music;9740;227
1940;Musical;9740;356
1940;Mystery;9740;232
1940;News;1950;2
1940;Reality-TV;0;0
1940;Romance;9740;702
1940;Sci-Fi;9740;18
1940;Sport;9740;48
1940;Talk-Show;0;0
1940;Thriller;9740;122
1940;War;9740;221
1940;Western;9740;554
1950;Action;19555;858
1950;Adventure;19555;1238
1950;Animation;19555;51
1950;Biography;19555;313
1950;Comedy;19555;4225
1950;Crime;19555;1828
1950;Documentary;19555;575
1950;Drama;19555;8199
1950;Family;19555;596
1950;Fantasy;19555;350
1950;Film-Noir;15636;347
1950;Game-Show;0;0
1950;History;19555;431
1950;Horror;19555;348
1950;Music;19555;390
1950;Musical;19555;989
1950;Mystery;19555;411
1950;News;7824;4
1950;Reality-TV;1951;1
1950;Romance;19555;2079
1950;Sci-Fi;19555;260
1950;Sport;19555;112
1950;Talk-Show;0;0
1950;Thriller;19555;473
1950;War;19555;717
1950;Western;19555;770
1960;Action;19655;2066
1960;Adventure;19655;1998
1960;Animation;19655;111
1960;Biography;19655;239
1960;Comedy;19655;5256
1960;Crime;19655;2396
1960;Documentary;19655;1263
1960;Drama;19655;10250
1960;Family;19655;745
1960;Fantasy;19655;545
1960;Film-Noir;0;0
1960;Game-Show;0;0
1960;History;19655;496
1960;Horror;19655;638
1960;Music;19655;291
1960;Musical;19655;989
1960;Mystery;19655;626
1960;News;3929;2
1960;Reality-TV;0;0
1960;Romance;19655;2514
1960;Sci-Fi;19655;349
1960;Sport;19655;130
1960;Talk-Show;0;0
1960;Thriller;19655;934
1960;War;19655;910
1960;Western;19655;807
1970;Action;19755;3084
1970;Adventure;19755;1782
1970;Animation;19755;207
1970;Biography;19755;418
1970;Comedy;19755;5441
1970;Crime;19755;2513
1970;Documentary;19755;2548
1970;Drama;19755;11578
1970;Family;19755;954
1970;Fantasy;19755;599
1970;Film-Noir;0;0
1970;Game-Show;0;0
1970;History;19755;579
1970;Horror;19755;1184
1970;Music;19755;406
1970;Musical;19755;553
1970;Mystery;19755;729
1970;News;5929;4
1970;Reality-TV;3947;2
1970;Romance;19755;2128
1970;Sci-Fi;19755;421
1970;Sport;19755;215
1970;Talk-Show;0;0
1970;Thriller;19755;1396
1970;War;19755;625
1970;Western;19755;458
1980;Action;19855;3775
1980;Adventure;19855;1617
1980;Animation;19855;438
1980;Biography;19855;522
1980;Comedy;19855;6177
1980;Crime;19855;2433
1980;Documentary;19855;3213
1980;Drama;19855;12766
1980;Family;19855;1054
1980;Fantasy;19855;981
1980;Film-Noir;0;0
1980;Game-Show;0;0
1980;History;19855;560
1980;Horror;19855;1594
1980;Music;19855;648
1980;Musical;19855;495
1980;Mystery;19855;744
1980;News;1990;1
1980;Reality-TV;1985;1
1980;Romance;19855;2483
1980;Sci-Fi;19855;694
1980;Sport;19855;217
1980;Talk-Show;1981;1
1980;Thriller;19855;1744
1980;War;19855;687
1980;Western;19855;97
1990;Action;19955;3900
1990;Adventure;19955;1252
1990;Animation;19955;474
1990;Biography;19955;751
1990;Comedy;19955;7098
1990;Crime;19955;2885
1990;Documentary;19955;5872
1990;Drama;19955;13115
1990;Family;19955;978
1990;Fantasy;19955;967
1990;Film-Noir;0;0
1990;Game-Show;0;0
1990;History;19955;621
1990;Horror;19955;1407
1990;Music;19955;645
1990;Musical;19955;314
1990;Mystery;19955;892
1990;News;0;0
1990;Reality-TV;7990;6
1990;Romance;19955;3441
1990;Sci-Fi;19955;716
1990;Sport;19955;290
1990;Talk-Show;9980;5
1990;Thriller;19955;2627
1990;War;19955;469
1990;Western;19955;98
2000;Action;20055;5191
2000;Adventure;20055;2511
2000;Animation;20055;1131
2000;Biography;20055;2162
2000;Comedy;20055;13506
2000;Crime;20055;3878
2000;Documentary;20055;21496
2000;Drama;20055;25165
2000;Family;20055;2010
2000;Fantasy;20055;1690
2000;Film-Noir;0;0
2000;Game-Show;0;0
2000;History;20055;1692
2000;Horror;20055;4087
2000;Music;20055;1937
2000;Musical;20055;742
2000;Mystery;20055;2039
2000;News;18054;244
2000;Reality-TV;18054;29
2000;Romance;20055;5980
2000;Sci-Fi;20055;1205
2000;Sport;20055;975
2000;Talk-Show;8027;6
2000;Thriller;20055;4605
2000;War;20055;882
2000;Western;20055;174
2010;Action;20155;9613
2010;Adventure;20155;6240
2010;Animation;20155;2941
2010;Biography;20155;7538
2010;Comedy;20155;23968
2010;Crime;20155;6973
2010;Documentary;20155;45447
2010;Drama;20155;48496
2010;Family;20155;5672
2010;Fantasy;20155;3621
2010;Film-Noir;0;0
2010;Game-Show;8067;5
2010;History;20155;5548
2010;Horror;20155;10217
2010;Music;20155;4247
2010;Musical;20155;1294
2010;Mystery;20155;4924
2010;News;20155;1032
2010;Reality-TV;20155;171
2010;Romance;20155;9344
2010;Sci-Fi;20155;3086
2010;Sport;20155;2623
2010;Talk-Show;18144;44
2010;Thriller;20155;11119
2010;War;20155;1343
2010;Western;20155;435
2020;Action;10115;2199
2020;Adventure;12144;1136
2020;Animation;10115;771
2020;Biography;8090;890
2020;Comedy;10115;4877
2020;Crime;8090;1549
2020;Documentary;12141;8742
2020;Drama;10115;9980
2020;Family;8090;825
2020;Fantasy;12144;747
2020;Film-Noir;0;0
2020;Game-Show;6066;5
2020;History;8090;582
2020;Horror;8090;2468
2020;Music;10115;686
2020;Musical;6066;276
2020;Mystery;8090;1050
2020;News;8090;16
2020;Reality-TV;6066;40
2020;Romance;8090;1759
2020;Sci-Fi;12144;772
2020;Sport;6066;425
2020;Talk-Show;6066;22
2020;Thriller;10115;2897
2020;War;6066;210
2020;Western;6066;109
